appid,name,genres,total_reviews,positive_ratio,review_score_desc,price_usd,release_year
413150,Stardew Valley,Indie | RPG | Simulation,387680,98.9,Overwhelmingly Positive,14.99,2016
400,Portal,Action,82203,98.7,Overwhelmingly Positive,9.99,2007
431960,Wallpaper Engine,Casual | Indie | Animation & Modeling | Design & Illustration | Photo Editing | Utilities,227617,98.0,Overwhelmingly Positive,4.99,2018
3164500,Schedule I,Action | Indie | Simulation | Strategy | Early Access,192783,97.9,Overwhelmingly Positive,19.99,2025
550,Left 4 Dead 2,Action,228449,97.6,Overwhelmingly Positive,9.99,2009
105600,Terraria,Action | Adventure | Indie | RPG,593304,97.6,Overwhelmingly Positive,9.99,2011
526870,Satisfactory,Adventure | Indie | Simulation | Strategy,134182,97.6,Overwhelmingly Positive,39.99,2024
227300,Euro Truck Simulator 2,Indie | Simulation,141936,97.5,Overwhelmingly Positive,19.99,2012
1966720,Lethal Company,Action | Adventure | Indie | Early Access,275505,97.4,Overwhelmingly Positive,9.99,2023
220,Half-Life 2,Action,89203,97.4,Overwhelmingly Positive,9.99,2004
4000,Garry's Mod,Casual | Indie | Simulation,529916,97.1,Overwhelmingly Positive,4.99,2006
1086940,Baldur's Gate 3,Adventure | RPG | Strategy,442716,96.8,Overwhelmingly Positive,59.99,2023
292030,The Witcher 3: Wild Hunt,RPG,236470,96.8,Overwhelmingly Positive,39.99,2015
3241660,R.E.P.O.,Action | Early Access,132129,96.8,Overwhelmingly Positive,6.99,2025
10,Counter-Strike,Action,34782,96.6,Overwhelmingly Positive,9.99,2000
70,Half-Life,Action,57839,96.5,Overwhelmingly Positive,9.99,1998
240,Counter-Strike: Source,Action,44713,96.1,Overwhelmingly Positive,9.99,2004
1623730,Palworld,Action | Adventure | Indie | RPG | Early Access,151774,95.5,Overwhelmingly Positive,29.99,2024
322330,Don't Starve Together,Action | Adventure | Indie | RPG | Simulation | Strategy,81068,95.5,Overwhelmingly Positive,1.49,2016
8930,Sid Meier's Civilization® V,Strategy,78330,95.5,Overwhelmingly Positive,29.99,2010
